Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Engine_Volumes(litres),Fuel_Consumption(litres),Fuel_Consumption_Per_Kilometers
Ssangyong,2022,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,AWD,Diesel,5595.0,White / Black,"Caringbah, NSW",4 cyl,SUV,4,7,51990.0,2.2,8.7,100.0
MG,2022,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,Front,Premium,16.0,Black / Black,"Brookvale, NSW",4 cyl,Hatchback,5,5,19990.0,1.5,6.7,100.0
BMW,2022,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,Rear,Premium,8472.0,Grey / White,"Sylvania, NSW",4 cyl,Coupe,2,4,108988.0,2.5,6.6,100.0
Mercedes-Benz,2011,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,Rear,Premium,136517.0,White / Brown,"Mount Druitt, NSW",8 cyl,Coupe,2,4,32990.0,5.5,11.0,100.0
Renault,2022,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,Front,Unleaded,1035.0,Grey / Black,"Castle Hill, NSW",4 cyl,SUV,4,5,34990.0,1.3,6.0,100.0
Toyota,2004,Estima,ON FOUR WHEELS,2004 Toyota Estima T EDITION,USED,Automatic,Other,Unleaded,160230.0,Grey / -,"Saint Marys, NSW",4 cyl,Commercial,4,5,9990.0,2.5,7.7,100.0
Land,2017,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,AWD,Diesel,67662.0,White / Black,"Blacktown, NSW",4 cyl,SUV,2,4,62280.0,2.5,5.1,100.0
Toyota,2013,86,Coupe,2013 Toyota 86 GT,USED,Automatic,Rear,Premium,82012.0,Black / -,"Mcgraths Hill, NSW",4 cyl,Coupe,2,4,24888.0,2.5,7.1,100.0
Honda,2014,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,Front,Hybrid,38229.0,Blue / -,"Lidcombe, NSW",4 cyl,Hatchback,5,5,17900.0,1.3,4.5,100.0
Toyota,2009,HiAce,Carbarn,2009 Toyota HiAce (No Badge),USED,Automatic,Other,Unleaded,148190.0,White / -,"Lidcombe, NSW",4 cyl,Commercial,4,5,42500.0,2.5,7.7,100.0
Toyota,2018,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,Rear,Unleaded,16324.0,White / Grey,"Lidcombe, NSW",4 cyl,Commercial,4,2,41999.0,2.7,9.8,100.0
Honda,2015,City,USED Dealer ad,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,Other,Unleaded,181745.0,Black / -,"Rouse Hill, NSW",4 cyl,SUV,4,5,11999.0,2.5,7.7,100.0
Toyota,2017,HiAce,USED Dealer ad,2017 Toyota HiAce,USED,Automatic,Other,Unleaded,136296.0,Silver / Grey,"Lidcombe, NSW",4 cyl,SUV,4,5,38999.0,2.5,7.7,100.0
Toyota,2016,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,Rear,Diesel,229829.0,White / Grey,"Lidcombe, NSW",4 cyl,Commercial,4,2,27995.0,2.5,8.0,100.0
Volkswagen,2012,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,Front,Premium,55676.0,White / Black,"Five Dock, NSW",4 cyl,Hatchback,5,5,14999.0,1.4,6.2,100.0
BMW,2014,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,4WD,Diesel,82624.0,Black / Black,"Haberfield, NSW",4 cyl,SUV,4,5,24985.0,2.5,5.6,100.0
Mitsubishi,2013,Outlander,Exclusive Autohaus,2013 Mitsubishi Outlander ES,USED,Manual,Other,Unleaded,120020.0,Blue / Grey,"Blacktown, NSW",4 cyl,Wagon,4,5,13999.0,2.5,7.7,100.0
BMW,2011,118D,Hatchback,2011 BMW 118D,USED,Automatic,Rear,Diesel,95204.0,Silver / -,"Five Dock, NSW",4 cyl,Hatchback,5,5,13999.0,2.5,5.4,100.0
Ford,2014,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,Front,Unleaded,76289.0,White / Black,"Cabramatta, NSW",3 cyl,Hatchback,5,5,12400.0,2.5,5.4,100.0
Mitsubishi,2012,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,AWD,Unleaded,219681.0,Black / Black,"Blacktown, NSW",4 cyl,SUV,4,7,13999.0,2.4,7.5,100.0
Ford,2013,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,Front,Unleaded,98079.0,Blue / Black,"Blacktown, NSW",4 cyl,Hatchback,5,5,11999.0,1.6,6.1,100.0
Volkswagen,2023,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,AWD,Diesel,15.0,White / Black,"Blacktown, NSW",6 cyl,Ute / Tray,4,5,83887.0,2.5,8.4,100.0
Honda,2018,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,Front,Unleaded,43274.0,Silver / Black,"Castle Hill, NSW",4 cyl,Hatchback,5,5,19900.0,1.5,5.8,100.0
Subaru,2012,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,AWD,Premium,105672.0,Black / -,"Glebe, NSW",4 cyl,SUV,4,5,17990.0,2.5,8.4,100.0
Mitsubishi,2018,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,Front,Unleaded,36836.0,Black / -,"Camden, NSW",3 cyl,Hatchback,5,5,14995.0,1.2,4.7,100.0
Toyota,2005,Camry,Sedan,2005 Toyota Camry Altise,USED,Automatic,Front,Unleaded,115821.0,Silver / Grey,"Lansvale, NSW",4 cyl,Sedan,4,5,8499.0,2.4,9.8,100.0
BMW,2013,3,USED Dealer ad,2013 BMW 3 Series 28i,USED,Automatic,Other,Unleaded,143119.0,Black / -,"Rouse Hill, NSW",4 cyl,SUV,4,5,21999.0,2.5,7.7,100.0
Hyundai,2011,I45,Sedan,2011 Hyundai I45 Active,USED,Automatic,Front,Unleaded,189711.0,Silver / Black,"Croydon, NSW",4 cyl,Sedan,4,5,12990.0,2.4,7.9,100.0
Ford,2015,Territory,SUV,2015 Ford Territory TS (rwd),USED,Automatic,Rear,Diesel,173786.0,Blue / Black,"Blacktown, NSW",6 cyl,SUV,4,7,16999.0,2.7,8.2,100.0
Nissan,2018,Qashqai,SUV,2018 Nissan Qashqai ST,USED,Automatic,Front,Unleaded,114301.0,Blue / -,"Pendle Hill, NSW",4 cyl,SUV,4,5,21950.0,2.5,6.9,100.0
Volkswagen,2013,Golf,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,Front,Premium,69197.0,Black / Black,"Blacktown, NSW",4 cyl,Hatchback,5,5,24880.0,2.5,6.6,100.0
Volkswagen,2023,T-Cross,NEW In stock,2023 Volkswagen T-Cross 85TSI DSG FWD Life,NEW,Automatic,Front,Premium,15.0,White / Black,"Blacktown, NSW",4 cyl,Wagon,4,5,35887.0,2.5,7.7,100.0
Hyundai,2015,Tucson,SUV,2015 Hyundai Tucson Active (fwd),USED,Automatic,Front,Unleaded,94377.0,Grey / -,"Mcgraths Hill, NSW",4 cyl,SUV,4,5,23888.0,2.5,7.9,100.0
Ford,2016,Focus,Hatchback,2016 Ford Focus Trend,USED,Automatic,Front,Unleaded,94965.0,White / Black,"Blacktown, NSW",4 cyl,Hatchback,5,5,16999.0,1.5,6.2,100.0
Nissan,2019,X-Trail,SUV,2019 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,Front,Unleaded,99294.0,Grey / -,"Blacktown, NSW",4 cyl,SUV,4,7,24490.0,2.5,8.1,100.0
Toyota,2021,Corolla,Hatchback,2021 Toyota Corolla ZR Hybrid,USED,Automatic,Front,Hybrid,13694.0,Black / -,"Blacktown, NSW",4 cyl,Hatchback,5,5,44878.0,1.8,4.2,100.0
Toyota,2007,Yaris,Sedan,2007 Toyota Yaris YRS,USED,Automatic,Front,Unleaded,264691.0,Silver / -,"Lansvale, NSW",4 cyl,Sedan,4,5,7949.0,1.5,6.7,100.0
Jeep,2012,Grand,Mr Car,2012 Jeep Grand Cherokee WK Laredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,USED,Automatic,Other,Unleaded,224839.0,Red / -,"Rouse Hill, NSW",4 cyl,Wagon,4,5,13999.0,2.5,7.7,100.0
Toyota,2010,Corolla,Hatchback,2010 Toyota Corolla Conquest,USED,Manual,Front,Unleaded,238270.0,Grey / -,"Smithfield, NSW",4 cyl,Hatchback,5,5,8800.0,1.8,7.7,100.0
Toyota,2009,HiAce,Nippon Motors,2009 Toyota HiAce (No Badge),USED,Automatic,Rear,Unleaded,76259.0,White / Black,"Ingleburn, NSW",4 cyl,Commercial,4,5,32900.0,2.5,7.7,100.0
Jeep,2015,Patriot,SUV,2015 Jeep Patriot Limited (4X4),USED,Automatic,4WD,Unleaded,140964.0,Black / -,"Seven Hills, NSW",4 cyl,SUV,4,5,13990.0,2.4,9.1,100.0
Toyota,2003,HiAce,Commercial,2003 Toyota HiAce,USED,Automatic,Rear,Unleaded,266848.0,White / Grey,"Five Dock, NSW",4 cyl,Commercial,4,3,9999.0,2.4,0.0,100.0
Volvo,2013,S60,Sedan,2013 Volvo S60 T4 Teknik,USED,Automatic,Front,Premium,141000.0,Blue / -,"Blacktown, NSW",4 cyl,Sedan,4,5,14999.0,1.6,7.4,100.0
Mitsubishi,2016,Triton,Ute / Tray,2016 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,4WD,Diesel,240402.0,White / -,"Haberfield, NSW",4 cyl,Ute / Tray,4,5,22750.0,2.4,7.6,100.0
Mercedes-Benz,2010,E250,Coupe,2010 Mercedes-Benz E250 CGI Elegance,USED,Automatic,Rear,Premium,101126.0,Black / Tobacco,"Glebe, NSW",4 cyl,Coupe,2,4,21950.0,1.8,7.9,100.0
Mercedes-Benz,2013,A250,Hatchback,2013 Mercedes-Benz A250 Sport,USED,Automatic,Front,Premium,117254.0,White / -,"Five Dock, NSW",4 cyl,Hatchback,5,5,19999.0,2.5,6.6,100.0
Toyota,2012,86,Coupe,2012 Toyota 86 GT,USED,Manual,Rear,Premium,178747.0,Silver / Black,"Granville, NSW",4 cyl,Coupe,2,4,19900.0,2.5,7.8,100.0
Mazda,2022,CX-5,SUV,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,AWD,Unleaded,10579.0,Black / Black,"Five Dock, NSW",4 cyl,SUV,4,5,37990.0,2.5,7.5,100.0
Toyota,2010,Corolla,Hatchback,2010 Toyota Corolla Ascent,USED,Automatic,Front,Unleaded,167101.0,Red / -,"Minchinbury, NSW",4 cyl,Hatchback,5,5,12990.0,1.8,7.7,100.0
Ford,2013,Falcon,Sedan,2013 Ford Falcon XR6,USED,Automatic,Rear,Unleaded,163161.0,Blue / Black,"Blacktown, NSW",6 cyl,Sedan,4,5,16999.0,2.5,9.9,100.0
Abarth,2021,595,Hatchback,2021 Abarth 595 Competizione,USED,Manual,Front,Premium,13200.0,Black / Black,"Ryde, NSW",4 cyl,Hatchback,3,4,36990.0,1.4,6.0,100.0
Honda,2014,CR-V,SUV,2014 Honda CR-V VTI-L (4X4),USED,Automatic,4WD,Unleaded,103211.0,White / Black Cloth,"Blacktown, NSW",4 cyl,SUV,4,5,23880.0,2.4,8.7,100.0
Toyota,2007,Corolla,Sedan,2007 Toyota Corolla Ultima,USED,Automatic,Front,Unleaded,177751.0,Silver / -,"Minchinbury, NSW",4 cyl,Sedan,4,5,10990.0,1.8,7.4,100.0
Toyota,2016,HiAce,People Mover,2016 Toyota HiAce Commuter,USED,Automatic,Rear,Unleaded,119614.0,Silver / Black,"Ingleburn, NSW",4 cyl,People Mover,3,14,44900.0,2.7,10.9,100.0
Hyundai,2012,I30,Hatchback,2012 Hyundai I30 Active,USED,Automatic,Front,Unleaded,125546.0,Black / Black Cloth,"Blacktown, NSW",4 cyl,Hatchback,5,5,15880.0,1.8,6.9,100.0
Mazda,2013,6,Sedan,2013 Mazda 6 Touring,USED,Automatic,Front,Unleaded,163000.0,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan,4,5,16995.0,2.5,6.6,100.0
Toyota,2008,Kluger,SUV,2008 Toyota Kluger KX-S (fwd),USED,Automatic,Front,Unleaded,132864.0,Blue / Black,"Blacktown, NSW",6 cyl,SUV,4,7,19880.0,3.5,11.0,100.0
Hyundai,2018,Santa,SUV,2018 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,AWD,Diesel,71655.0,White / Black,"Homebush, NSW",4 cyl,SUV,4,7,43999.0,2.2,7.8,100.0
BMW,2012,X3,SUV,2012 BMW X3 Xdrive 20D,USED,Automatic,4WD,Diesel,109459.0,Black / -,"Blacktown, NSW",4 cyl,SUV,4,5,18888.0,2.5,5.6,100.0
Holden,2016,Cascada,Convertible,2016 Holden Cascada,USED,Automatic,Front,Premium,65361.0,Silver / Black Leather,"Minchinbury, NSW",4 cyl,Convertible,2,4,24995.0,1.6,7.5,100.0
Mercedes-Benz,2006,ML320,SUV,2006 Mercedes-Benz ML320 CDI Luxury (4X4),USED,Automatic,4WD,Diesel,212953.0,Silver / -,"Five Dock, NSW",6 cyl,SUV,4,5,9998.0,2.5,9.6,100.0
Mitsubishi,2009,Lancer,Sedan,2009 Mitsubishi Lancer ES,USED,Automatic,Front,Unleaded,163012.0,Red / -,"Minchinbury, NSW",4 cyl,Sedan,4,5,9990.0,2.5,8.2,100.0
Audi,2014,A5,Coupe,2014 Audi A5 2.0 Tfsi Quattro,USED,Automatic,AWD,Premium,82119.0,White / Black,"Blacktown, NSW",4 cyl,Coupe,2,4,27380.0,2.5,6.7,100.0
Kia,2018,RIO,Hatchback,2018 Kia RIO GT-Line,USED,Automatic,Front,Unleaded,42071.0,Red / Black,"Homebush, NSW",3 cyl,Hatchback,5,5,24999.0,2.5,5.4,100.0
Jeep,2015,Cherokee,SUV,2015 Jeep Cherokee Longitude (4X4),USED,Automatic,4WD,Unleaded,85958.0,Red / Black Cloth,"Elderslie, NSW",6 cyl,SUV,4,5,17999.0,3.2,10.0,100.0
Volkswagen,2011,Tiguan,SUV,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,AWD,Premium,118642.0,Black / -,"Lidcombe, NSW",4 cyl,SUV,4,5,12990.0,2.5,8.8,100.0
Mitsubishi,2012,ASX,SUV,2012 Mitsubishi ASX (2WD),USED,Automatic,Front,Unleaded,187265.0,Blue / -,"Campbelltown, NSW",4 cyl,SUV,4,5,13990.0,2.5,7.9,100.0
BMW,2016,220I,Convertible,2016 BMW 220I M-Sport,USED,Automatic,Rear,Premium,118120.0,Grey / Black,"Caringbah, NSW",4 cyl,Convertible,2,4,28990.0,2.5,6.4,100.0
Hyundai,2022,Tucson,SUV,2022 Hyundai Tucson (FWD),USED,Automatic,Front,Unleaded,19978.0,White / -,"Smithfield, NSW",4 cyl,SUV,4,5,36800.0,2.5,8.1,100.0
Mazda,2011,3,Sedan,2011 Mazda 3 NEO,USED,Automatic,Front,Unleaded,86804.0,Grey / Grey,"Lansvale, NSW",4 cyl,Sedan,4,5,13999.0,2.5,8.2,100.0
Volkswagen,2023,Tiguan,Alto Volkswagen New Cars,2023 Volkswagen Tiguan Allspace 132TSI Life,NEW,Automatic,AWD,Premium,15.0,Black / Storm Grey,"Blacktown, NSW",4 cyl,SUV,4,7,56887.0,2.5,8.9,100.0
Hyundai,2014,Imax,Wagon,2014 Hyundai Imax,USED,Automatic,Rear,Diesel,183550.0,White / Grey  Cloth,"Bankstown, NSW",4 cyl,Wagon,4,8,19888.0,2.5,9.0,100.0
Toyota,2014,Yaris,Hatchback,2014 Toyota Yaris YR,USED,Automatic,Front,Unleaded,191748.0,Green / Black,"Bankstown, NSW",4 cyl,Hatchback,5,5,8995.0,1.3,6.3,100.0
Toyota,2016,Kluger,SUV,2016 Toyota Kluger Grande (4X2),USED,Automatic,Front,Unleaded,139637.0,Grey / Black,"Five Dock, NSW",6 cyl,SUV,4,7,31900.0,3.5,10.4,100.0
Mitsubishi,2013,Lancer,Sedan,2013 Mitsubishi Lancer LX,USED,Automatic,Front,Unleaded,165306.0,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan,4,5,14995.0,2.5,7.2,100.0
Subaru,2016,XV,SUV,2016 Subaru XV 2.0I-L,USED,Automatic,AWD,Unleaded,104887.0,Grey / Black,"North Narrabeen, NSW",4 cyl,SUV,4,5,22990.0,2.5,7.1,100.0
Mini,2017,Cooper,Hatchback,2017 Mini Cooper S 5D Hatch,USED,Automatic,Front,Premium,72501.0,Yellow / -,"Blacktown, NSW",4 cyl,Hatchback,5,5,31990.0,2.5,5.5,100.0
Peugeot,2015,308,Mr Car,2015 Peugeot 308 T9 Allure Touring 5dr Spts Auto 6sp 2.0DT,USED,Automatic,Other,Unleaded,167127.0,White / -,"Rouse Hill, NSW",4 cyl,Hatchback,4,5,12999.0,2.5,7.7,100.0
Holden,2010,Commodore,Ute / Tray,2010 Holden Commodore SS-V,USED,Manual,Rear,Unleaded,169220.0,Black / -,"Blacktown, NSW",8 cyl,Ute / Tray,2,2,25999.0,2.5,14.5,100.0
Hyundai,2015,I20,Hatchback,2015 Hyundai I20 Active,USED,Automatic,Front,Unleaded,111783.0,Silver / Grey,"Croydon, NSW",4 cyl,Hatchback,5,5,13990.0,1.4,5.9,100.0
Mazda,2018,BT-50,Ute / Tray,2018 Mazda BT-50 XTR (4X2),USED,Automatic,Rear,Diesel,97460.0,White / Grey,"Haberfield, NSW",5 cyl,Ute / Tray,4,5,30990.0,3.2,9.3,100.0
Mazda,2009,3,Sedan,2009 Mazda 3 Maxx,USED,Automatic,Front,Unleaded,178389.0,Black / -,"Chester Hill, NSW",4 cyl,Sedan,4,5,8499.0,2.5,8.2,100.0
Hyundai,2011,I20,Hatchback,2011 Hyundai I20 Active,USED,Automatic,Front,Unleaded,188262.0,Blue / -,"Minchinbury, NSW",4 cyl,Hatchback,5,5,10995.0,1.4,6.4,100.0
Honda,2015,Vezel,Top Auto Group,2015 Honda Vezel Hybrid Z,USED,Automatic,Other,Unleaded,71059.0,Grey / -,"Blacktown, NSW",4 cyl,Wagon,4,5,24888.0,2.5,7.7,100.0
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,AWD,Unleaded,152831.0,Black / Leather,"Liverpool, NSW",4 cyl,SUV,4,5,11669.0,2.3,11.5,100.0
Jeep,2017,Renegade,SUV,2017 Jeep Renegade Limited,USED,Automatic,Front,Premium,69218.0,Grey / Black,"Glebe, NSW",4 cyl,SUV,4,5,24950.0,1.4,5.9,100.0
Mazda,2013,6,Sedan,2013 Mazda 6 Sport,USED,Automatic,Front,Unleaded,124093.0,White / -,"West Ryde, NSW",4 cyl,Sedan,4,5,16990.0,2.5,6.6,100.0
Nissan,2009,Elgrand,Sydney City Traders,2009 Nissan Elgrand Highway Star,USED,Automatic,Rear,Unleaded,103090.0,White / Brown,"Five Dock, NSW",4 cyl,Wagon,4,5,19995.0,2.5,7.7,100.0
Kia,2013,Grand,Wagon,2013 Kia Grand Carnival SLI,USED,Automatic,Front,Unleaded,98672.0,White / -,"Minchinbury, NSW",6 cyl,Wagon,4,8,13995.0,3.5,10.9,100.0
Mitsubishi,2015,Lancer,Sedan,2015 Mitsubishi Lancer ES Sport,USED,Automatic,Front,Unleaded,61481.0,Grey / Black,"Minchinbury, NSW",4 cyl,Sedan,4,5,17995.0,2.5,7.2,100.0
Subaru,2018,Impreza,Hatchback,2018 Subaru Impreza 2.0I (awd),USED,Automatic,AWD,Unleaded,61177.0,Grey / -,"Seven Hills, NSW",4 cyl,Hatchback,5,5,22990.0,2.5,6.6,100.0
Mazda,2014,3,Hatchback,2014 Mazda 3 NEO,USED,Automatic,Front,Unleaded,132648.0,Red / Black  Cloth,"Granville, NSW",4 cyl,Hatchback,5,5,16999.0,2.5,8.2,100.0
BMW,2021,X4,SUV,2021 BMW X4 Xdrive20I M Sport,USED,Automatic,AWD,Unleaded,31367.0,Grey / -,"Sylvania, NSW",4 cyl,SUV,5,5,79988.0,2.5,7.3,100.0
Mazda,2010,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,AWD,Unleaded,174818.0,Red / -,"Kirrawee, NSW",4 cyl,SUV,4,5,12800.0,2.3,11.5,100.0
Audi,2015,A5,Coupe,2015 Audi A5 2.0 Tfsi Quattro,USED,Automatic,AWD,Premium,115334.0,Grey / Black,"Blacktown, NSW",4 cyl,Coupe,2,4,26880.0,2.5,6.7,100.0
BMW,2014,118I,Hatchback,2014 BMW 118I,USED,Automatic,Rear,Premium,57000.0,White / Black,"Cabramatta, NSW",4 cyl,Hatchback,5,5,16990.0,1.6,5.8,100.0
Mercedes-Benz,2012,C-CLASS,USED Dealer ad,2012 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY Avantgarde Sedan 4dr 7G-TRONIC 7sp 1.8T,USED,Automatic,Other,Unleaded,162775.0,Black / -,"Rouse Hill, NSW",4 cyl,SUV,4,5,16999.0,2.5,7.7,100.0
Toyota,2013,HiAce,Nippon Motors,2013 Toyota HiAce DX,USED,Automatic,Other,Diesel,191173.0,Silver / Black,"Ingleburn, NSW",4 cyl,Commercial,4,5,30900.0,2.5,7.7,100.0
Subaru,2007,Impreza,USED Dealer ad,2007 Subaru Impreza WRX STI,USED,Manual,Other,Unleaded,146077.0,Black / Grey/Black,"Smeaton Grange, NSW",4 cyl,SUV,4,5,34888.0,2.5,7.7,100.0
Audi,2014,Q7,SUV,2014 Audi Q7 4.2 TDI Quattro,USED,Automatic,AWD,Diesel,199941.0,Black / -,"Five Dock, NSW",8 cyl,SUV,4,7,28999.0,4.1,9.2,100.0
Suzuki,2015,Celerio,Hatchback,2015 Suzuki Celerio,USED,Automatic,Front,Unleaded,23316.0,Blue / -,"Blacktown, NSW",3 cyl,Hatchback,5,4,13880.0,2.5,4.8,100.0
Subaru,2016,Liberty,Sedan,2016 Subaru Liberty 3.6R,USED,Automatic,AWD,Premium,226127.0,White / -,"Minto, NSW",6 cyl,Sedan,4,5,17950.0,3.6,9.9,100.0
Toyota,2019,C-HR,SUV,2019 Toyota C-HR (2WD),USED,Manual,Front,Premium,58185.0,Yellow / -,"Blacktown, NSW",4 cyl,SUV,4,5,33888.0,1.2,5.4,100.0
Subaru,2021,Forester,SUV,2021 Subaru Forester 2.5I (awd),USED,Automatic,AWD,Unleaded,16136.0,Silver / -,"Windsor, NSW",4 cyl,SUV,4,5,39990.0,2.5,7.4,100.0
Mazda,2015,CX-3,SUV,2015 Mazda CX-3 S Touring (awd),USED,Automatic,AWD,Unleaded,31531.0,White / -,"Penrith, NSW",4 cyl,SUV,4,5,23950.0,2.5,6.7,100.0
Jeep,2018,Grand,SUV,2018 Jeep Grand Cherokee Limited (4X4),USED,Automatic,4WD,Diesel,76472.0,White / Black,"Glebe, NSW",6 cyl,SUV,4,5,41950.0,2.5,7.5,100.0
Hyundai,2018,I30,Hatchback,2018 Hyundai I30 Active,USED,Automatic,Front,Unleaded,62719.0,Silver / Black,"Homebush, NSW",4 cyl,Hatchback,4,5,21999.0,2.5,7.4,100.0
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail ST (2WD),USED,Automatic,Front,Unleaded,52035.0,Grey / -,"Windsor, NSW",4 cyl,SUV,4,5,27990.0,2.5,7.9,100.0
Honda,2010,City,Sedan,2010 Honda City VTI,USED,Automatic,Front,Unleaded,146445.0,Black / -,"Kogarah, NSW",4 cyl,Sedan,4,5,8950.0,1.5,6.6,100.0
Honda,2020,CR-V,SUV,2020 Honda CR-V VTI-L7 (2WD),USED,Automatic,Front,Unleaded,35214.0,Grey / Black,"Blacktown, NSW",4 cyl,SUV,4,7,37880.0,1.5,7.3,100.0
Holden,2014,Cruze,Hatchback,2014 Holden Cruze SRI,USED,Manual,Front,Unleaded,163000.0,Red / -,"South Windsor, NSW",4 cyl,Hatchback,5,5,7950.0,1.6,7.4,100.0
Jeep,2013,Grand,SUV,2013 Jeep Grand Cherokee Laredo (4X2),USED,Automatic,Rear,Premium,69001.0,Grey / Black,"Artarmon, NSW",6 cyl,SUV,4,5,24990.0,3.6,10.1,100.0
Toyota,2007,RAV4,SUV,2007 Toyota RAV4 Cruiser L (4X4),USED,Automatic,4WD,Unleaded,106718.0,Silver / Grey,"Lansvale, NSW",4 cyl,SUV,4,5,14999.0,2.4,9.6,100.0
Holden,2016,Commodore,Sedan,2016 Holden Commodore Evoke,USED,Automatic,Rear,Unleaded,59689.0,Red / Black,"Blacktown, NSW",6 cyl,Sedan,4,5,22999.0,2.5,8.3,100.0
Mercedes-Benz,2010,CLC200,Coupe,2010 Mercedes-Benz CLC200 Kompressor Evolution +,USED,Automatic,Rear,Premium,177834.0,Silver / -,"Five Dock, NSW",4 cyl,Coupe,2,4,7999.0,1.8,9.0,100.0
Dodge,2012,Journey,Mr Car,2012 Dodge Journey JC SXT Wagon 4dr Auto 6sp 3.6i 7 St SUV,USED,Automatic,Other,Unleaded,147589.0,White / -,"Rouse Hill, NSW",4 cyl,Wagon,4,5,10999.0,2.5,7.7,100.0
Mazda,2013,6,Sedan,2013 Mazda 6 Atenza,USED,Automatic,Front,Unleaded,105767.0,White / Black,"Homebush, NSW",4 cyl,Sedan,4,5,19999.0,2.5,6.6,100.0
Volkswagen,2018,Caddy,Commercial,2018 Volkswagen Caddy Maxi VAN TSI220,USED,Automatic,Front,Premium,87293.0,White / -,"Blacktown, NSW",4 cyl,Commercial,3,2,30999.0,1.4,6.0,100.0
Honda,2013,Civic,Sedan,2013 Honda Civic VTI-L,USED,Automatic,Front,Unleaded,154347.0,Silver / -,"Minchinbury, NSW",4 cyl,Sedan,4,5,15990.0,1.8,6.7,100.0
Jeep,2021,Compass,SUV,2021 Jeep Compass Launch Edition,USED,Automatic,Front,Unleaded,20827.0,White / Black,"Ryde, NSW",4 cyl,SUV,4,5,32888.0,2.4,7.9,100.0
Toyota,2008,HiAce,Nippon Motors,2008 Toyota HiAce Commuter GL Grand Cabin,USED,Automatic,Other,Unleaded,112980.0,White / Black,"Ingleburn, NSW",4 cyl,Commercial,4,5,31900.0,2.5,7.7,100.0
Mazda,2014,CX-9,Exclusive Autohaus,2014 Mazda CX-9 Classic,USED,Automatic,Other,Unleaded,97745.0,Blue / Grey,"Blacktown, NSW",4 cyl,Wagon,4,5,22999.0,2.5,7.7,100.0
Toyota,2010,Yaris,Hatchback,2010 Toyota Yaris YR,USED,Automatic,Front,Unleaded,147626.0,White / -,"Minchinbury, NSW",4 cyl,Hatchback,5,5,10995.0,1.3,6.5,100.0
Jeep,2014,Grand,SUV,2014 Jeep Grand Cherokee Overland (4X4),USED,Automatic,4WD,Diesel,114424.0,Grey / Black,"Castle Hill, NSW",6 cyl,SUV,4,5,29990.0,2.5,7.5,100.0
Mazda,2009,3,Hatchback,2009 Mazda 3 SP25,USED,Manual,Front,Unleaded,153020.0,Red / -,"Liverpool, NSW",4 cyl,Hatchback,5,5,13950.0,2.5,8.6,100.0
Ford,2016,Ranger,Ute / Tray,2016 Ford Ranger XLT 3.2 (4X4),USED,Automatic,4WD,Diesel,98700.0,Blue / -,"Five Dock, NSW",5 cyl,Ute / Tray,4,5,36999.0,3.2,9.0,100.0
Holden,2011,Captiva,Automobile Gallery,2011 Holden Captiva CG 7 LX Wagon 7st 4dr Spts Auto 6sp 4x4 2.2DT,USED,Automatic,Other,Diesel,183924.0,White / -,"Granville, NSW",4 cyl,Wagon,4,5,9990.0,2.5,7.7,100.0
