Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price,Engine_Volumes(litres),Fuel_Consumption(litres),Fuel_Consumption_Per_Kilometers
MG,2020,ZST,SUV,2020 MG ZST Essence,USED,Automatic,Front,Unleaded,25693.0,Red / -,"Moorabbin, VIC",3 cyl,SUV,5,5,29950.0,1.3,7.3,100.0
Jeep,2020,Grand,SUV,2020 Jeep Grand Cherokee Trailhawk (4X4),USED,Automatic,4WD,Diesel,89867.0,Red / Black,"Hoppers Crossing, VIC",6 cyl,SUV,4,5,62990.0,2.5,7.0,100.0
Kia,2016,Carnival,Wagon,2016 Kia Carnival SLI,USED,Automatic,Front,Diesel,92355.0,Silver / Grey,"Pinkenba, QLD",4 cyl,Wagon,4,8,36990.0,2.2,7.7,100.0
Mini,2018,3D,Hatchback,2018 Mini 3D Hatch John Cooper Works,USED,Automatic,Front,Premium,32675.0,Green / Black,"Everton Hills, QLD",4 cyl,Hatchback,3,4,41999.0,2.5,6.0,100.0
Ford,2019,Ranger,Ute / Tray,2019 Ford Ranger XL 3.2 (4X4),USED,Automatic,4WD,Diesel,134266.0,Silver / -,"Coburg North, VIC",5 cyl,Ute / Tray,4,5,37990.0,3.2,8.7,100.0
Holden,2017,Colorado,Ute / Tray,2017 Holden Colorado LS (4X2),USED,Automatic,Rear,Diesel,105308.0,White / Black,"Pinkenba, QLD",4 cyl,Ute / Tray,4,5,29990.0,2.8,8.8,100.0
BMW,2019,330I,Sedan,2019 BMW 330I M-Sport,USED,Automatic,Rear,Unleaded,42597.0,Black / Black,"Hendra, QLD",4 cyl,Sedan,4,5,51892.0,2.5,6.4,100.0
Volkswagen,2004,Touareg,SUV,2004 Volkswagen Touareg V6,USED,Automatic,4WD,Premium,221822.0,Silver / -,"Point Cook, VIC",6 cyl,SUV,4,5,7999.0,3.2,19.1,100.0
Kia,2021,Cerato,Hatchback,2021 Kia Cerato S,USED,Automatic,Front,Unleaded,33425.0,White / -,"Kedron, QLD",4 cyl,Hatchback,5,5,24998.0,2.5,7.4,100.0
Ford,2002,Focus,Sedan,2002 Ford Focus LX,USED,Automatic,Front,Unleaded,128875.0,White / Grey,"Ringwood, VIC",4 cyl,Sedan,4,5,7450.0,2.5,8.0,100.0
Holden,2018,Equinox,SUV,2018 Holden Equinox LT (fwd),USED,Automatic,Front,Premium,92818.0,White / Grey,"Oakleigh, VIC",4 cyl,SUV,4,5,24990.0,2.5,8.2,100.0
Holden,2014,Colorado,Ute / Tray,2014 Holden Colorado LTZ (4X4),USED,Automatic,4WD,Diesel,117717.0,White / Cloth,"Ipswich, QLD",4 cyl,Ute / Tray,4,5,28886.0,2.8,9.1,100.0
Toyota,2019,Landcruiser,Ute / Tray,2019 Toyota Landcruiser GXL (4X4),USED,Manual,4WD,Diesel,140579.0,White / 2019/10,"Dandenong South, VIC",8 cyl,Ute / Tray,4,5,97450.0,4.5,10.7,100.0
Toyota,2021,RAV4,SUV,2021 Toyota RAV4 Cruiser (2WD) Hybrid,USED,Automatic,Front,Hybrid,89563.0,Blue / Black,"Frankston, VIC",4 cyl,SUV,5,5,54990.0,2.5,4.7,100.0
Holden,2015,Barina,Hatchback,2015 Holden Barina RS,USED,Automatic,Front,Premium,57316.0,Red / Black,"Pinkenba, QLD",4 cyl,Hatchback,5,5,15990.0,1.4,6.5,100.0
Toyota,2011,Hilux,Ute / Tray,2011 Toyota Hilux SR5 (4X4),USED,Automatic,4WD,Diesel,219078.0,Grey / -,"Toowoomba, QLD",4 cyl,Ute / Tray,4,5,32990.0,2.5,9.3,100.0
Volkswagen,2018,Golf,Hatchback,2018 Volkswagen Golf GTI,USED,Automatic,Front,Premium,72283.0,White / Black,"Kedron, QLD",4 cyl,Hatchback,5,5,39850.0,2.5,6.7,100.0
Skoda,2021,Kodiaq,SUV,2021 Skoda Kodiaq 132 TSI (4X4),USED,Automatic,4WD,Premium,44591.0,White / Leather,"Preston, VIC",4 cyl,SUV,4,7,43990.0,2.5,7.6,100.0
Holden,2013,Colorado,Ute / Tray,2013 Holden Colorado LT (4X4),USED,Automatic,4WD,Diesel,170161.0,White / Grey,"Pinkenba, QLD",4 cyl,Ute / Tray,4,5,25990.0,2.8,9.1,100.0
Volkswagen,2016,Golf,Wagon,2016 Volkswagen Golf 92 TSI Trendline,USED,Automatic,Front,Premium,92632.0,White / Black,"Hoppers Crossing, VIC",4 cyl,Wagon,4,5,19990.0,1.4,5.4,100.0
Holden,2017,Colorado,Ute / Tray,2017 Holden Colorado LTZ (4X4),USED,Automatic,4WD,Diesel,61257.0,Black / Black,"Woodridge, QLD",4 cyl,Ute / Tray,4,5,47990.0,2.8,9.1,100.0
Mitsubishi,2022,Outlander,SUV,2022 Mitsubishi Outlander LS 7 Seat (2WD),USED,Automatic,Front,Unleaded,16813.0,White / Cloth,"Nundah, QLD",4 cyl,SUV,4,7,41990.0,2.5,7.7,100.0
Holden,2012,Barina,Sedan,2012 Holden Barina CD,USED,Automatic,Front,Unleaded,86009.0,Blue / Grey,"West Footscray, VIC",4 cyl,Sedan,4,5,11499.0,1.6,6.6,100.0
Kia,2020,Cerato,Hatchback,2020 Kia Cerato S,USED,Automatic,Front,Unleaded,59139.0,Blue / Black,"Elsternwick, VIC",4 cyl,Hatchback,5,5,24950.0,2.5,7.4,100.0
Lexus,2017,CT200H,Hatchback,2017 Lexus CT200H Luxury,USED,Automatic,Front,Hybrid,82635.0,Black / -,"Essendon Fields, VIC",4 cyl,Hatchback,5,5,32780.0,1.8,4.1,100.0
Audi,2014,A3,Convertible,2014 Audi A3 1.8 Tfsi Ambition,USED,Automatic,Front,Premium,94700.0,Grey / Black,"Southbank, VIC",4 cyl,Convertible,2,4,24888.0,1.8,5.8,100.0
Mercedes-Benz,2018,GLS500,SUV,2018 Mercedes-Benz GLS500 4Matic,USED,Automatic,AWD,Premium,73645.0,Black / -,"Mansfield, QLD",8 cyl,SUV,4,7,79800.0,4.7,11.3,100.0
Toyota,2013,Estima,USED Dealer ad,2013 Toyota Estima AER,USED,Automatic,Other,Unleaded,66604.0,Black / -,"Moorabbin, VIC",4 cyl,Wagon,4,5,29950.0,2.5,7.7,100.0
Kia,2020,Cerato,Sedan,2020 Kia Cerato Sport NAV,USED,Automatic,Front,Unleaded,37004.0,White / Grey,"Chermside, QLD",4 cyl,Sedan,4,5,26999.0,2.5,7.4,100.0
BMW,2018,X4,SUV,2018 BMW X4 Xdrive 35D,USED,Automatic,AWD,Diesel,39233.0,Blue / Black,"Dingley Village, VIC",6 cyl,SUV,5,5,64999.0,2.5,6.0,100.0
Volkswagen,2018,Tiguan,SUV,2018 Volkswagen Tiguan Allspace 162 TSI Highline,USED,Automatic,AWD,Premium,85822.0,White / Black,"Pinkenba, QLD",4 cyl,SUV,4,7,40990.0,2.5,8.3,100.0
BMW,2023,420I,Brighton BMW,2023 BMW 420I M Sport Gran Coupe,DEMO,Automatic,Rear,Unleaded,1568.0,White / Black Alcantara & Sensatec & Contrast Stitching,"Bentleigh, VIC",4 cyl,Hatchback,4,5,83680.0,2.5,6.5,100.0
Volkswagen,2019,Tiguan,SUV,2019 Volkswagen Tiguan Allspace 132 TSI Comfortline,USED,Automatic,AWD,Premium,58761.0,White / -,"Aspley, QLD",4 cyl,SUV,4,7,36990.0,2.5,7.9,100.0
Holden,2018,Equinox,SUV,2018 Holden Equinox LTZ-V (awd),USED,Automatic,AWD,Premium,69707.0,White / -,"Toowoomba, QLD",4 cyl,SUV,4,5,28990.0,2.5,8.4,100.0
Hyundai,2007,Santa,SUV,2007 Hyundai Santa FE Elite Crdi (4X4),USED,Automatic,4WD,Diesel,213011.0,White / -,"Wacol, QLD",4 cyl,SUV,4,5,13990.0,2.2,8.2,100.0
Audi,2015,S3,Hatchback,2015 Audi S3 Sportback 2.0 Tfsi Quattro,USED,Automatic,AWD,Premium,105030.0,Black / Black,"Brooklyn, VIC",4 cyl,Hatchback,5,5,31932.0,2.5,6.9,100.0
Mazda,2023,CX-5,Brighton Mazda New & Demo,2023 Mazda CX-5 GT SP Turbo (awd),NEW,Automatic,AWD,Unleaded,100290.0,Red / Black Leather,"Brighton, VIC",4 cyl,SUV,4,5,57693.0,2.5,8.2,100.0
Holden,2017,Colorado,Ute / Tray,2017 Holden Colorado LS (4X4),USED,Automatic,4WD,Diesel,259000.0,White / Black,"Altona North, VIC",4 cyl,Ute / Tray,4,5,19999.0,2.8,9.0,100.0
Mazda,2018,CX-3,SUV,2018 Mazda CX-3 Maxx (fwd),USED,Automatic,Front,Unleaded,45700.0,Black / -,"Archerfield, QLD",4 cyl,SUV,4,5,17500.0,2.5,6.1,100.0
Hyundai,2021,I30,Hatchback,2021 Hyundai I30,USED,Automatic,Front,Unleaded,24885.0,White / Black,"Kedron, QLD",4 cyl,Hatchback,5,5,26990.0,2.5,7.4,100.0
Holden,2017,Barina,Hatchback,2017 Holden Barina LS,USED,Automatic,Front,Premium,75906.0,Black / -,"Slacks Creek, QLD",4 cyl,Hatchback,5,5,15990.0,1.6,6.6,100.0
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail ST (4X4),USED,Automatic,4WD,Unleaded,59814.0,Blue / -,"Toowoomba, QLD",4 cyl,SUV,4,5,28990.0,2.5,8.3,100.0
Subaru,2019,Forester,SUV,2019 Subaru Forester 2.5I-L (awd),USED,Automatic,AWD,Unleaded,73004.0,Green / Grey,"Essendon Fields, VIC",4 cyl,SUV,4,5,33868.0,2.5,7.4,100.0
Mazda,2016,6,Sedan,2016 Mazda 6 Touring,USED,Automatic,Front,Unleaded,50011.0,Silver / Black,"Frankston, VIC",4 cyl,Sedan,4,5,25990.0,2.5,6.6,100.0
Ford,2018,Everest,SUV,2018 Ford Everest Titanium (4WD),USED,Automatic,4WD,Diesel,69860.0,Grey / Black Leather,"Lilydale, VIC",5 cyl,SUV,4,7,57999.0,3.2,8.5,100.0
Toyota,2021,Yaris,USED Dealer ad,2021 Toyota Yaris,USED,Automatic,Other,Unleaded,12929.0,White / -,"Oakleigh, VIC",4 cyl,Hatchback,4,5,29747.0,2.5,7.7,100.0
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail TI (4X4) TAN Leather,USED,Automatic,4WD,Unleaded,20161.0,Black / Black,"Hoppers Crossing, VIC",4 cyl,SUV,4,5,41990.0,2.5,8.3,100.0
Volkswagen,2018,Golf,Hatchback,2018 Volkswagen Golf 110 TSI Trendline,USED,Automatic,Front,Premium,66039.0,Blue / Grey,"Moorooka, QLD",4 cyl,Hatchback,5,5,23990.0,1.4,5.4,100.0
Toyota,2018,RAV4,SUV,2018 Toyota RAV4 GX (2WD),USED,Automatic,Front,Unleaded,82084.0,Blue / Black,"HEIDELBERG, VIC",4 cyl,SUV,4,5,30950.0,2.5,7.0,100.0
Holden,2018,Astra,Sedan,2018 Holden Astra LS Plus,USED,Automatic,Front,Unleaded,59863.0,White / -,"Hoppers Crossing, VIC",4 cyl,Sedan,4,5,22888.0,1.4,6.1,100.0
Volkswagen,2018,Tiguan,SUV,2018 Volkswagen Tiguan 162 TSI Highline,USED,Automatic,AWD,Premium,92492.0,White / -,"Capalaba, QLD",4 cyl,SUV,4,5,39990.0,2.5,8.1,100.0
Nissan,2021,X-Trail,SUV,2021 Nissan X-Trail ST-L (2WD),USED,Automatic,Front,Unleaded,34810.0,White / Grey,"Hoppers Crossing, VIC",4 cyl,SUV,4,5,36990.0,2.5,7.9,100.0
Ford,2017,Everest,SUV,2017 Ford Everest Trend,USED,Automatic,AWD,Diesel,92068.0,Black / Black Leather,"Berwick, VIC",5 cyl,SUV,4,7,44499.0,3.2,8.5,100.0
Toyota,2020,C-HR,SUV,2020 Toyota C-HR Koba (2WD),USED,Automatic,Front,Premium,45159.0,Grey / -,"Toowoomba, QLD",4 cyl,SUV,5,5,38990.0,1.2,6.4,100.0
Mitsubishi,2019,ASX,SUV,2019 Mitsubishi ASX LS (2WD),USED,Automatic,Front,Unleaded,77823.0,Silver / Black,"Elsternwick, VIC",4 cyl,SUV,4,5,25950.0,2.5,7.6,100.0
Volkswagen,2015,Touareg,SUV,2015 Volkswagen Touareg V6 TDI,USED,Automatic,AWD,Diesel,118344.0,Black / Leather,"Kedron, QLD",6 cyl,SUV,4,5,33990.0,2.5,7.4,100.0
Jeep,2014,Grand,SUV,2014 Jeep Grand Cherokee SRT 8 (4X4),USED,Automatic,4WD,Premium,118687.0,White / -,"Hallam, VIC",8 cyl,SUV,4,5,54898.0,6.4,14.0,100.0
Volkswagen,2019,Crafter,Wippells Autos,2019 Volkswagen Crafter 35 LWB FWD TDI410,USED,Automatic,Front,Diesel,67598.0,White / Titanium Black Cloth,"Toowoomba City, QLD",4 cyl,Ute / Tray,4,5,53995.0,2.5,7.7,100.0
Land,2014,Rover,SUV,2014 Land Rover Range Rover Sport 3.0 SDV6 SE,USED,Automatic,AWD,Diesel,138373.0,White / -,"Deer Park, VIC",6 cyl,SUV,4,5,64999.0,2.5,7.5,100.0
Mitsubishi,2020,Pajero,SUV,2020 Mitsubishi Pajero Sport Exceed (4X4) 7 Seat,USED,Automatic,4WD,Diesel,49950.0,Black / Leather,"Burwood, VIC",4 cyl,SUV,4,7,49890.0,2.4,8.0,100.0
Nissan,2019,Navara,Ute / Tray,2019 Nissan Navara RX (4X2),USED,Manual,Front,Diesel,72934.0,White / Black,"Toowoomba City, QLD",4 cyl,Ute / Tray,2,2,25990.0,2.3,6.4,100.0
Holden,2009,Commodore,Sedan,2009 Holden Commodore SV6,USED,Automatic,Rear,Unleaded,71472.0,Silver / -,"Moorabbin, VIC",6 cyl,Sedan,4,5,15990.0,3.6,10.1,100.0
Nissan,2005,Elgrand,Melbourne's Cheapest Cars,2005 Nissan Elgrand E51 HIGHWAYSTAR 2.5L 8 SEATER,USED,Automatic,Other,Unleaded,65338.0,Silver / -,"Moorabbin, VIC",4 cyl,Wagon,4,5,19950.0,2.5,7.7,100.0
BMW,2023,X5,SUV,2023 BMW X5 M50I,USED,Automatic,AWD,Premium,2229.0,Grey / Sensafin Dekorgesteppt,"Berwick, VIC",8 cyl,SUV,4,5,154000.0,4.4,11.5,100.0
Kia,2019,Sportage,SUV,2019 Kia Sportage SI Premium (fwd),USED,Automatic,Front,Unleaded,69559.0,White / -,"Moorooka, QLD",4 cyl,SUV,4,5,28987.0,2.5,7.9,100.0
Holden,2017,Colorado,Ute / Tray,2017 Holden Colorado LS (4X2),USED,Automatic,Rear,Diesel,110000.0,White / -,"Archerfield, QLD",4 cyl,Ute / Tray,2,2,26999.0,2.8,8.8,100.0
Toyota,2010,Camry,Sedan,2010 Toyota Camry Altise,USED,Automatic,Front,Unleaded,247000.0,- / -,"Avondale Heights, VIC",4 cyl,Sedan,4,5,10499.0,2.4,8.8,100.0
Mercedes-Benz,2019,GLC200,SUV,2019 Mercedes-Benz GLC200,USED,Automatic,Rear,Premium,50680.0,Silver / Leather,"Bundoora, VIC",4 cyl,SUV,4,5,57990.0,2.5,7.8,100.0
Toyota,2020,RAV4,SUV,2020 Toyota RAV4 GXL AWD Hybrid,USED,Automatic,AWD,Hybrid,61141.0,Blue / Black,"Pinkenba, QLD",4 cyl,SUV,5,5,47990.0,2.5,4.8,100.0
Kia,2020,Cerato,Sedan,2020 Kia Cerato S,USED,Automatic,Front,Unleaded,54992.0,White / -,"Kedron, QLD",4 cyl,Sedan,4,5,23498.0,2.5,7.4,100.0
Nissan,2021,X-Trail,SUV,2021 Nissan X-Trail ST-L (2WD),USED,Automatic,Front,Unleaded,18949.0,White / Grey,"Hoppers Crossing, VIC",4 cyl,SUV,4,5,37990.0,2.5,7.9,100.0
Volkswagen,2013,Golf,Hatchback,2013 Volkswagen Golf 90 TSI Comfortline,USED,Automatic,Front,Premium,146889.0,Silver / Black,"Port Melbourne, VIC",4 cyl,Hatchback,5,5,14980.0,1.4,5.4,100.0
Lexus,2021,ES250,Sedan,2021 Lexus ES250 Luxury +EP1,USED,Automatic,Front,Premium,12351.0,Blue / Beige,"Fortitude Valley, QLD",4 cyl,Sedan,4,5,57990.0,2.5,6.6,100.0
Toyota,2021,RAV4,SUV,2021 Toyota RAV4 GX (2WD),USED,Automatic,Front,Unleaded,27869.0,White / -,"Kedron, QLD",4 cyl,SUV,5,5,42495.0,2.5,6.5,100.0
Nissan,2008,Elgrand,Melbourne's Cheapest Cars,2008 Nissan Elgrand E51 V 2.5L 8 SEATER,USED,Automatic,Other,Unleaded,81866.0,Blue / -,"Moorabbin, VIC",4 cyl,Wagon,4,5,19950.0,2.5,7.7,100.0
Holden,2014,Malibu,Sedan,2014 Holden Malibu CD,USED,Automatic,Front,Unleaded,140596.0,Red / -,"Braybrook, VIC",4 cyl,Sedan,4,5,13999.0,2.4,8.0,100.0
Jeep,2014,Cherokee,SUV,2014 Jeep Cherokee Limited (4X4),USED,Automatic,4WD,Diesel,101855.0,Red / Black,"Hoppers Crossing, VIC",4 cyl,SUV,4,5,24990.0,2.5,5.8,100.0
Toyota,2014,Yaris,LV's Discount Cars,2014 Toyota Yaris NCP131R ZR Hatchback 5dr Auto 4sp 1.5i,USED,Automatic,Front,Unleaded,153995.0,Blue / -,"Underwood, QLD",4 cyl,Hatchback,4,5,13999.0,2.5,7.7,100.0
Holden,2017,Equinox,SUV,2017 Holden Equinox LT (fwd),USED,Automatic,Front,Premium,127183.0,Grey / -,"Moorabbin, VIC",4 cyl,SUV,4,5,20990.0,2.5,8.2,100.0
Holden,2016,UTE,Ute / Tray,2016 Holden UTE SV6 Black Edition,USED,Manual,Rear,Unleaded,66204.0,Green / Black,"Pakenham, VIC",6 cyl,Ute / Tray,2,2,37800.0,3.6,9.8,100.0
Toyota,2019,RAV4,SUV,2019 Toyota RAV4 Cruiser AWD Hybrid,USED,Automatic,AWD,Hybrid,68582.0,Red / Cloth,"Oakleigh, VIC",4 cyl,SUV,5,5,53888.0,2.5,4.8,100.0
